full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
billy_horschel,2018,0,0,1,292,315,295,-20,0,0,0,0.0,295.4,0.6779999999999999,0.7175,20.013038527697667,0.539,0.5132,1.6369999999999998,70.154,0.5379999999999999,0.35200000000000004,-0.16899999999999998,0.392,0.72,1.112
billy_hurley_iii,2016,0,0,0,315,315,304,-11,0,0,0,0.0,277.7,0.6536,0.6271,18.009171274658918,0.6302,0.4444,1.5759999999999998,70.846,-0.20600000000000002,0.226,-0.10400000000000001,0.433,-0.084,0.348
billy_mayfair,2005,0,0,1,288,315,303,-12,0,0,0,0.0,288.2,0.6975,0.6949,18.934564147200337,0.5636,0.5455,1.6380000000000001,70.335,0.409,0.304,0.271,-0.08,0.9840000000000001,0.904
billy_mayfair,2006,0,0,1,311,288,302,14,0,0,0,0.0,282.3,0.7014,0.6655,18.67054907542297,0.5297999999999999,0.5253,1.631,70.762,0.192,0.077,0.10099999999999999,0.10300000000000001,0.37,0.473
billy_mayfair,2008,0,0,0,315,315,302,-13,0,0,0,0.0,284.0,0.7216,0.6812,17.636034134691393,0.6204,0.623,1.6580000000000001,70.512,0.308,0.003,0.294,-0.228,0.605,0.377
bo_van_pelt,2004,0,0,0,315,315,303,-12,0,0,0,0.0,294.4,0.6515000000000001,0.6768000000000001,20.346666666666668,0.5832999999999999,0.4369,1.6230000000000002,70.245,0.512,0.19399999999999998,0.094,0.34600000000000003,0.8,1.146
bo_van_pelt,2010,0,1,1,280,315,300,-15,0,0,0,0.0,292.0,0.6523,0.6923,19.205774594579047,0.6243,0.5714,1.6280000000000001,69.955,0.7240000000000001,0.26,0.107,0.10099999999999999,1.091,1.192
bo_van_pelt,2011,0,0,1,287,280,299,19,0,0,0,0.0,297.4,0.6359,0.6801999999999999,19.310311454562875,0.5404,0.5556,1.643,70.092,0.586,0.344,0.10400000000000001,-0.16699999999999998,1.034,0.867
bo_van_pelt,2012,0,0,1,289,287,297,10,0,0,0,0.0,296.1,0.6479,0.6707,19.27609443499037,0.5593,0.5165,1.6,69.718,0.45,0.665,-0.22,0.542,0.895,1.4369999999999998
boo_weekley,2007,0,0,1,291,315,305,-10,0,0,0,0.0,296.6,0.6465000000000001,0.6586,18.061801716606237,0.5594,0.4667,1.5859999999999999,70.303,0.8759999999999999,0.231,-0.289,-0.192,0.8190000000000001,0.627
boo_weekley,2008,0,0,0,315,291,302,11,0,0,0,0.0,291.7,0.6475,0.6787000000000001,18.18265840482812,0.5256000000000001,0.5,1.6769999999999998,70.414,0.715,0.44299999999999995,-0.109,-0.498,1.048,0.55
boo_weekley,2013,0,0,0,315,315,300,-15,0,0,0,0.0,290.9,0.6636,0.6939,17.993288621501815,0.5243,0.5055,1.6740000000000002,70.611,0.594,0.401,-0.221,-0.6759999999999999,0.774,0.099
branden_grace,2016,0,0,1,291,315,304,-11,0,0,0,0.0,295.6,0.5514,0.6676000000000001,18.661926481475593,0.6087,0.5,1.6269999999999998,70.204,0.326,0.603,0.032,-0.105,0.96,0.855
