season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion
2003,shigeki_maruyama,278.9,64.9,34.666666666666664,60.15,28.72
2003,skip_kendall,280.2,66.31,32.916666666666664,61.57,31.21
2003,spike_mcroy,279.6,68.54,35.916666666666664,56.64,26.93
2003,stephen_ames,285.9,68.23,32.916666666666664,61.1,33.0
2003,steve_allan,290.8,62.27,36.166666666666664,58.59,26.77
2003,steve_flesch,285.7,66.35,34.333333333333336,60.44,32.04
2003,steve_lowery,288.8,64.79,33.666666666666664,56.21,31.18
2003,steve_stricker,284.5,59.92,35.333333333333336,62.62,30.02
2003,steven_alker,272.2,61.57,37.0,60.41,25.0
2003,stewart_cink,288.0,65.22,31.833333333333332,63.26,32.96
2003,stuart_appleby,294.4,65.36,33.916666666666664,61.7,32.43
2003,thomas_levet,286.9,67.6,35.25,54.34,25.97
2003,tiger_woods,299.5,68.63,34.333333333333336,60.16,35.05
2003,tim_clark,273.3,65.01,30.416666666666668,57.73,28.81
2003,tim_herron,290.9,65.82,35.25,61.58,32.79
2003,tim_petrovic,284.2,65.59,34.0,60.97,31.46
2003,todd_barranger,298.8,60.66,34.583333333333336,52.1,31.35
2003,todd_fischer,283.1,63.33,36.583333333333336,58.05,30.75
2003,tom_byrum,272.7,63.14,35.0,60.75,27.86
2003,tom_gillis,286.5,67.57,34.083333333333336,55.42,27.55
2003,tom_lehman,286.8,70.51,35.916666666666664,53.02,30.21
2003,tom_pernice_jr.,289.1,64.11,35.083333333333336,61.46,31.54
2003,tommy_armour_iii,294.3,66.05,33.333333333333336,56.1,29.49
2003,ty_tryon,295.9,58.62,37.083333333333336,51.23,30.04
2003,vance_veazey,291.0,62.37,36.083333333333336,51.23,28.38
2003,vijay_singh,301.9,69.47,33.0,64.86,35.21
2003,woody_austin,290.8,67.64,33.75,57.83,32.05
2004,aaron_baddeley,288.0,58.17,39.333333333333336,56.09,30.15
2004,adam_scott,295.4,65.6,35.333333333333336,56.52,32.9
2004,alex_cejka,285.8,63.81,36.083333333333336,57.02,28.77
2004,andre_stolz,297.9,63.0,36.416666666666664,51.84,28.38
2004,arjun_atwal,289.4,62.52,35.916666666666664,56.96,29.8
2004,arron_oberholser,284.6,67.05,35.083333333333336,59.12,27.42
2004,bart_bryant,282.1,68.92,33.75,58.81,28.86
2004,ben_crane,283.8,64.19,38.25,62.06,31.13
2004,ben_curtis,282.1,63.35,37.333333333333336,58.02,25.13
2004,bernhard_langer,282.2,65.25,34.416666666666664,61.92,27.68
2004,billy_andrade,283.5,64.37,35.25,59.22,29.76
2004,billy_mayfair,285.2,66.03,36.0,56.23,25.52
2004,blaine_mccallister,280.9,63.56,36.0,56.05,24.52
2004,bo_van_pelt,294.4,67.68,36.333333333333336,58.35,31.36
