,full_name,season,masters_played,min,mean,prior_score,SG_per_round,driving_distance,driving_accuracy,greens_in_regulation,par_or_better_distance,scrambling,putting_rating,made_cut,top_10,total_score
119,brooks_koepka,2016,4,276.0,286.0,293.0,2.9,302.6,0.586,0.6698000000000001,20.496379084012762,0.5553,149.4,1,0,287.0
120,brooks_koepka,2018,4,276.0,286.0,287.0,2.9,313.4,0.5685,0.6828,20.5707370026777,0.6328,218.8,1,1,276.0
121,bryson_dechambeau,2017,2,284.0,287.5,315.0,2.6,299.4,0.5834,0.6548,19.789812193819987,0.5732,260.8,1,0,291.0
122,bryson_dechambeau,2018,2,284.0,287.5,291.0,2.6,305.7,0.6223,0.6965,20.085879852384966,0.5984,185.9,1,0,284.0
123,bubba_watson,2007,11,278.0,289.3636363636364,315.0,2.1,315.2,0.5566,0.6548999999999999,20.087662189070734,0.5654,256.9,1,0,291.0
124,bubba_watson,2008,11,278.0,289.3636363636364,291.0,2.1,315.1,0.5516,0.6759999999999999,19.016474491433296,0.5468999999999999,332.3,1,0,290.0
125,bubba_watson,2010,11,278.0,289.3636363636364,290.0,2.1,309.8,0.5567,0.6854,20.32705645944724,0.555,219.9,1,0,289.0
126,bubba_watson,2011,11,278.0,289.3636363636364,289.0,2.1,314.9,0.5692,0.6983,20.3519433961477,0.5082,282.3,1,1,278.0
127,bubba_watson,2012,11,278.0,289.3636363636364,278.0,2.1,315.5,0.5884,0.6995,20.005119344807717,0.5658,272.7,1,0,295.0
128,bubba_watson,2013,11,278.0,289.3636363636364,295.0,2.1,303.7,0.5872999999999999,0.6940999999999999,19.43870510733675,0.5448,220.3,1,1,280.0
129,bubba_watson,2014,11,278.0,289.3636363636364,280.0,2.1,314.3,0.6047,0.6796,19.827480929255746,0.5914,200.3,1,0,289.0
130,bubba_watson,2015,11,278.0,289.3636363636364,289.0,2.1,315.2,0.5655,0.6931999999999999,21.10840590854743,0.6189,164.6,1,0,297.0
131,bubba_watson,2016,11,278.0,289.3636363636364,297.0,2.1,310.6,0.5511,0.6916,19.2782375685642,0.5274,239.8,0,0,315.0
132,bubba_watson,2017,11,278.0,289.3636363636364,315.0,2.1,305.8,0.595,0.6286999999999999,20.414616257584765,0.5534,321.1,1,1,279.0
133,bubba_watson,2018,11,278.0,289.3636363636364,279.0,2.1,313.1,0.5827,0.6820999999999999,20.438287599503038,0.5664,190.8,1,0,280.0
134,cameron_smith,2017,2,279.0,284.5,315.0,3.3,292.6,0.5626,0.6314,20.565960954937168,0.5864,161.4,1,1,279.0
135,cameron_smith,2018,2,279.0,284.5,279.0,3.3,298.4,0.5703,0.6318,20.37888170249889,0.6112,239.8,1,0,290.0
136,cameron_tringale,2014,1,289.0,289.0,315.0,2.2,282.9,0.6386999999999999,0.6677,18.80318878098428,0.5934,149.7,1,0,289.0
137,camilo_villegas,2006,6,282.0,302.5,315.0,-1.2,302.1,0.5806,0.6529,19.575519274366926,0.5645,248.1,0,0,315.0
138,camilo_villegas,2007,6,282.0,302.5,315.0,-1.2,298.3,0.6023,0.6572,19.038779941652425,0.5731,243.0,0,0,315.0
139,camilo_villegas,2008,6,282.0,302.5,315.0,-1.2,293.3,0.5815,0.6459999999999999,19.70859488903255,0.5352,184.3,1,0,282.0
140,camilo_villegas,2009,6,282.0,302.5,282.0,-1.2,293.0,0.6131,0.6667000000000001,19.489794337892164,0.5685,223.8,1,0,294.0
